,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
612,#Person2# is going to travel around Europe and will buy #Person1# a souvenir.,I'm going to Europe.,Have you decided what you're going to do during your holiday?,#Person2# is going to travel around Europe and will go to Paris and then go to the UK. #Person2# will go to Edinburgh to attend the festival.,#Person2# tells #Person1# #Person2#'s going to travel around Europe and #Person2#'ll go to Edinburgh to attend the festival. #Person1# asks #Person2# to buy #Person2# a souvenir.
613,#Person2# plans to travel around Europe during #Person2#'s holiday.,I'm going to visit the museums of Milan and the city of Milan.,Have you decided what you're going to do during your holiday?,#Person2# is going to travel around Europe and will go to Paris and then go to the UK. #Person2# will go to Edinburgh to attend the festival.,#Person2# tells #Person1# #Person2#'s going to travel around Europe and #Person2#'ll go to Edinburgh to attend the festival. #Person1# asks #Person2# to buy #Person2# a souvenir.
614,#Person2# tells #Person1# #Person2# plans to travel around Europe to visit museums and attend the Edinburgh festival.,"You're going to go to Europe, and you're going to visit some of the world's most famous museums.",Have you decided what you're going to do during your holiday?,#Person2# is going to travel around Europe and will go to Paris and then go to the UK. #Person2# will go to Edinburgh to attend the festival.,#Person2# tells #Person1# #Person2#'s going to travel around Europe and #Person2#'ll go to Edinburgh to attend the festival. #Person1# asks #Person2# to buy #Person2# a souvenir.
615,#Person2# fails to hold Mr. Fox's reservation for a mid-size vehicle. Mr. Fox thinks it unreasonable. #Person2# offers Mr. Fox a compact instead and offer him a discount for his costs.,The reservation for a car is made.,The reservation is for a mid-size vehicle.,Mr. Fox makes a reservation for a mid-size vehicle because he ran out of cars. Mr. Fox wants to take the compact car and give him the insurance.,Jimmy Fox made a reservation for a mid-size vehicle. #Person2# tells him they ran out of cars and they have no mid-size available. Jimmy Fox will take the compact and asks for insurance.
616,Jimmy Fox made a reservation for a mid-size vehicle but is told the mid-size is not available. #Person2# apologizes and offers a compact with a discount for #Person1#.,The reservation is for a mid-size car.,The reservation is for a mid-size vehicle.,Mr. Fox makes a reservation for a mid-size vehicle because he ran out of cars. Mr. Fox wants to take the compact car and give him the insurance.,Jimmy Fox made a reservation for a mid-size vehicle. #Person2# tells him they ran out of cars and they have no mid-size available. Jimmy Fox will take the compact and asks for insurance.
617,"Mr. Fox is angry because he makes a reservation for a mid-size vehicle but #Person2# doesn't keep a car for him. Finally, he takes a compact with a discount.","The reservation is for a car, but the reservation is for a car.",The reservation is for a mid-size vehicle.,Mr. Fox makes a reservation for a mid-size vehicle because he ran out of cars. Mr. Fox wants to take the compact car and give him the insurance.,Jimmy Fox made a reservation for a mid-size vehicle. #Person2# tells him they ran out of cars and they have no mid-size available. Jimmy Fox will take the compact and asks for insurance.
618,#Person1# gets mom's permission to play card games quietly for a while.,The teacher wants to know if the card games are a good idea.,"Mom, please don't make any noise.",#Person1# asks mom to play the card games for a while. #Person1# promises to play the card games for five minutes. #Person1# promises to keep the noise.,#Person1# wants to play the card games for a while. #Person2# tells #Person1# to be careful and will play for five minutes.
619,#Person1# asks for mom's permission to play card games and promises not to make noise.,Mom will help you with your homework.,"Mom, please don't make any noise.",#Person1# asks mom to play the card games for a while. #Person1# promises to play the card games for five minutes. #Person1# promises to keep the noise.,#Person1# wants to play the card games for a while. #Person2# tells #Person1# to be careful and will play for five minutes.
620,#Person2# allows #Person1# to play card games without making any noise.,Mom says she won't let her son play the game.,"Mom, please don't make any noise.",#Person1# asks mom to play the card games for a while. #Person1# promises to play the card games for five minutes. #Person1# promises to keep the noise.,#Person1# wants to play the card games for a while. #Person2# tells #Person1# to be careful and will play for five minutes.
621,Ann tells Mr. Jones about his weekly meeting schedule.,Good morning Mr. Jones.,Have a good day.,"Mr. Jones tells Ann that Mr. Jones will bring the diary and the meeting with his accountant at 5 pm and on Wednesday, Mr. Jones will meet with Mr. Jones. Ann tells Ann that Mr. Jones's meeting in London is at 11.30 and Ms. Von wants to talk to Ann.",Ann and Mr. Jones are meeting each other. Ann tells Mr. Jones about the meetings and the time of the meeting.
622,Ann is telling Mr Jones his meeting arrangements this week.,The following are the names of the speakers:,Have a good day.,"Mr. Jones tells Ann that Mr. Jones will bring the diary and the meeting with his accountant at 5 pm and on Wednesday, Mr. Jones will meet with Mr. Jones. Ann tells Ann that Mr. Jones's meeting in London is at 11.30 and Ms. Von wants to talk to Ann.",Ann and Mr. Jones are meeting each other. Ann tells Mr. Jones about the meetings and the time of the meeting.
623,Ann informs Mr. Jones of his meeting schedule for this week and reminds him of Ms. Von.,The project manager will be contacting the project manager.,Have a good day.,"Mr. Jones tells Ann that Mr. Jones will bring the diary and the meeting with his accountant at 5 pm and on Wednesday, Mr. Jones will meet with Mr. Jones. Ann tells Ann that Mr. Jones's meeting in London is at 11.30 and Ms. Von wants to talk to Ann.",Ann and Mr. Jones are meeting each other. Ann tells Mr. Jones about the meetings and the time of the meeting.
624,#Person2# is looking at a world map to prepare for a geography class. #Person1# and #Person2# talk about geographical features.,Looking at the map.,Look at the map.,#Person2# is looking at the map of the world and finds that most of the world is covered with water. #Person1# finds that most of the world is covered with water. #Person2# finds it incredible how millions of years of volcanic activity have created mountains thousands of metres tall. #Person1# will have to find more information about it on the internet.,#Person2# is preparing for a geography class. #Person1# finds the map shows geographical features and the oceans and landscapes all influence our climate. #Person2# will try to attend #Person1#'s geography class.
625,#Person1# and #Person2# are talking about a map of the world. They talk about geographical features and find geographical interesting.,The map shows the world.,Look at the map.,#Person2# is looking at the map of the world and finds that most of the world is covered with water. #Person1# finds that most of the world is covered with water. #Person2# finds it incredible how millions of years of volcanic activity have created mountains thousands of metres tall. #Person1# will have to find more information about it on the internet.,#Person2# is preparing for a geography class. #Person1# finds the map shows geographical features and the oceans and landscapes all influence our climate. #Person2# will try to attend #Person1#'s geography class.
626,#Person2# is looking at the map. #Person1# finds geography interesting and wants to know more about it.,The map shows the world's geographical features.,Look at the map.,#Person2# is looking at the map of the world and finds that most of the world is covered with water. #Person1# finds that most of the world is covered with water. #Person2# finds it incredible how millions of years of volcanic activity have created mountains thousands of metres tall. #Person1# will have to find more information about it on the internet.,#Person2# is preparing for a geography class. #Person1# finds the map shows geographical features and the oceans and landscapes all influence our climate. #Person2# will try to attend #Person1#'s geography class.
627,#Person2# rings #Person1# to change to a non-smoking room. #Person1# apologizes and will arrange one.,"#Person1#: I'm sorry, but I'm not allowed to smoke in the room.",The Receptionist will help you with your luggage.,#Person2# needs to change #Person2#'s room because the smell of smoke in the room is strong. #Person2# will arrange a non-smoking room for #Person2# right away.,#Person2# needs to change the room because the smell of smoke in the room is strong. #Person1# will arrange a non-smoking room for #Person2# right away.
628,#Person2# is asking #Person1# to change #Person2#'s room to a non-smoking room.,The doorman will be able to change your room.,The Receptionist will help you with your luggage.,#Person2# needs to change #Person2#'s room because the smell of smoke in the room is strong. #Person2# will arrange a non-smoking room for #Person2# right away.,#Person2# needs to change the room because the smell of smoke in the room is strong. #Person1# will arrange a non-smoking room for #Person2# right away.
629,#Person2# wants to change to a non-smoking room. #Person1# will arrange it.,"I'm sorry, but I'm not sure what's going on.",The Receptionist will help you with your luggage.,#Person2# needs to change #Person2#'s room because the smell of smoke in the room is strong. #Person2# will arrange a non-smoking room for #Person2# right away.,#Person2# needs to change the room because the smell of smoke in the room is strong. #Person1# will arrange a non-smoking room for #Person2# right away.
630,#Person1# asks Bill to be careful and then sees the workmen walking across the wet cement.,The headmaster asked the workers to remove the wet cement.,The workmen should be more careful.,Bill refuses to touch the wet paint because he walked across the wet cement over there. Bill's workmen oughtn't leave it without a notice. Bill's workmen went to their stores to get one.,Bill tells #Person1# he shouldn't touch the wet paint. #Person1# thinks the workmen should leave it without a notice.
631,The workmen are walking across the wet cement to put up the notice.,"- Bill. - Bill, you're not as careful as Bill. - Bill, you're not as careful as Bill. - Bill, you're not as careful as Bill. - Bill, you're as careful as Bill. - Bill, you're as careful as Bill. - Bill, you're as careful as Bill. - Bill, you're as careful as Bill.",The workmen should be more careful.,Bill refuses to touch the wet paint because he walked across the wet cement over there. Bill's workmen oughtn't leave it without a notice. Bill's workmen went to their stores to get one.,Bill tells #Person1# he shouldn't touch the wet paint. #Person1# thinks the workmen should leave it without a notice.
632,#Person1# reminds Bill of the wet cement and then sees the workmen walking across it.,Workmen forgot to put up the notice on the wet cement.,The workmen should be more careful.,Bill refuses to touch the wet paint because he walked across the wet cement over there. Bill's workmen oughtn't leave it without a notice. Bill's workmen went to their stores to get one.,Bill tells #Person1# he shouldn't touch the wet paint. #Person1# thinks the workmen should leave it without a notice.
633,Ella and Ben had a good time together. Ella gives phone number to Ben before Ben leaves.,"Ben, I'm going to meet you at the office.",Ben and Ella are going to meet up again.,Ella has to leave early because she has to leave early. Ben will call Ella later. Ella will call Ben sometime next week.,Ella invites Ben to a party but Ben has to leave early. Ben will call Ella sometime next week.
634,Ben and Ella had a good time. Ben will call Ella next week.,I'm going to meet up with you at the end of the day.,Ben and Ella are going to meet up again.,Ella has to leave early because she has to leave early. Ben will call Ella later. Ella will call Ben sometime next week.,Ella invites Ben to a party but Ben has to leave early. Ben will call Ella sometime next week.
635,Ben has to leave. Ella feels bad about it and gives Ben her phone number.,The meeting between the two of them was going on.,Ben and Ella are going to meet up again.,Ella has to leave early because she has to leave early. Ben will call Ella later. Ella will call Ben sometime next week.,Ella invites Ben to a party but Ben has to leave early. Ben will call Ella sometime next week.
636,Bill tells Jim that Dick's been sick.,Dr. William has been sick for the past week.,I'm calling to let you know that Dick is sick.,Bill tells Jim Dick is sick and Dick is sick. Bill tells Jim Dick can come back to work ASAP.,Jim hasn't seen Dick for two weeks. Dick has been sick since he came back from Italy.
637,Dick's been sick and will come back as soon as possible.,Dick's been sick since he came back from Italy.,I'm calling to let you know that Dick is sick.,Bill tells Jim Dick is sick and Dick is sick. Bill tells Jim Dick can come back to work ASAP.,Jim hasn't seen Dick for two weeks. Dick has been sick since he came back from Italy.
638,Bill tells Jim about Dick's health condition.,The doctor said he could come back to work ASAP.,I'm calling to let you know that Dick is sick.,Bill tells Jim Dick is sick and Dick is sick. Bill tells Jim Dick can come back to work ASAP.,Jim hasn't seen Dick for two weeks. Dick has been sick since he came back from Italy.
639,"#Person2# has been working overtime and only gets minimum wage. #Person1# suggests #Person2# either asking for more compensation or quitting, but #Person2# refuses in fear of not being able to find another job.","I'm not sure what's going on, but I'm working overtime.",Work overtime.,#Person2# is working overtime every day without a break. #Person2# thinks there is a law against overtime and #Person2# thinks it's unfair. #Person2# thinks it's just wrong to quit. #Person2# thinks it's just wrong. #Person2# thinks it's just wrong. #Person2# thinks it's a good idea to quit.,#Person2# has worked overtime every day without a break. #Person2#'s boss has complete control over their work schedules and doesn't give extra pay for overtime. #Person1# thinks it's unfair to give bonuses at the end of the year for employees with highest productivity numbers. #Person2#'s afraid #Person2# would not find another job.
640,"#Person2# has worked overtime with minimum wage and little bonus. Although #Person2# are not very confident, #Person1# hopes #Person2# could quit that job and find another one.",Isn't it unfair that you're working overtime every day without a break?,Work overtime.,#Person2# is working overtime every day without a break. #Person2# thinks there is a law against overtime and #Person2# thinks it's unfair. #Person2# thinks it's just wrong to quit. #Person2# thinks it's just wrong. #Person2# thinks it's just wrong. #Person2# thinks it's a good idea to quit.,#Person2# has worked overtime every day without a break. #Person2#'s boss has complete control over their work schedules and doesn't give extra pay for overtime. #Person1# thinks it's unfair to give bonuses at the end of the year for employees with highest productivity numbers. #Person2#'s afraid #Person2# would not find another job.
641,"#Person2# works overtime every day and doesn't get enough paid. #Person1# thinks it's unfair and suggests #Person2# quitting the job, but #Person2#'s afraid of being unemployed.",Work overtime.,Work overtime.,#Person2# is working overtime every day without a break. #Person2# thinks there is a law against overtime and #Person2# thinks it's unfair. #Person2# thinks it's just wrong to quit. #Person2# thinks it's just wrong. #Person2# thinks it's just wrong. #Person2# thinks it's a good idea to quit.,#Person2# has worked overtime every day without a break. #Person2#'s boss has complete control over their work schedules and doesn't give extra pay for overtime. #Person1# thinks it's unfair to give bonuses at the end of the year for employees with highest productivity numbers. #Person2#'s afraid #Person2# would not find another job.
642,Lisa found out Mark had been cheating on her and decided to divorce him if he wouldn't tell the truth. #Person1# agrees with Lisa.,Lisa and Lisa are having a brief conversation about their recent divorce.,Lisa found out that her husband is cheating on her.,Lisa tells #Person1# her husband is cheating on her. Lisa tells #Person1# she asked for leave and was at home when the telephone rang. She then asked Mark about the girl who called and she told him she would divorce him if she didn't tell her the truth or end the relationship with her.,Lisa tells #Person1# her husband is cheating on her. She tells #Person1# she told Mark she would divorce him if he wouldn't tell her the truth or end the relationship with her.
643,Lisa found that her husband was cheating on her. She asked him to tell her the truth or end the relationship that she would divorce him. #Person1# agrees with what she did.,"A couple of months later, Lisa's husband is cheating on her.",Lisa found out that her husband is cheating on her.,Lisa tells #Person1# her husband is cheating on her. Lisa tells #Person1# she asked for leave and was at home when the telephone rang. She then asked Mark about the girl who called and she told him she would divorce him if she didn't tell her the truth or end the relationship with her.,Lisa tells #Person1# her husband is cheating on her. She tells #Person1# she told Mark she would divorce him if he wouldn't tell her the truth or end the relationship with her.
644,Lisa has found her husband cheating on her. Her husband first denied and then only admitted to a small indiscretion. #Person1# supports Lisa to seek the truth.,I'm not sure what happened to Lisa's husband.,Lisa found out that her husband is cheating on her.,Lisa tells #Person1# her husband is cheating on her. Lisa tells #Person1# she asked for leave and was at home when the telephone rang. She then asked Mark about the girl who called and she told him she would divorce him if she didn't tell her the truth or end the relationship with her.,Lisa tells #Person1# her husband is cheating on her. She tells #Person1# she told Mark she would divorce him if he wouldn't tell her the truth or end the relationship with her.
645,The doctor suggested #Person2# clean up the diet.,The doctor told the person that he was having an eating disorder.,Talk to your doctor.,#Person2# tells #Person1# that #Person2# has been eating too much and asked #Person2# to clean up #Person2#'s diet by cutting red meat.,#Person2# tells #Person1# the doctor told #Person2# to clean up #Person2#'s diet by cutting red meat.
646,#Person2# will be on a diet for #Person2#'s health.,#Person1: I have been eating too much. #Person2: I have been eating too much.,Talk to your doctor.,#Person2# tells #Person1# that #Person2# has been eating too much and asked #Person2# to clean up #Person2#'s diet by cutting red meat.,#Person2# tells #Person1# the doctor told #Person2# to clean up #Person2#'s diet by cutting red meat.
647,#Person1# agrees with #Person2#'s doctor that #Person2# should diet.,The doctor told me that I have been eating too much.,Talk to your doctor.,#Person2# tells #Person1# that #Person2# has been eating too much and asked #Person2# to clean up #Person2#'s diet by cutting red meat.,#Person2# tells #Person1# the doctor told #Person2# to clean up #Person2#'s diet by cutting red meat.
648,#Person1# refuses to stay by #Person2#'s side and won't return.,#Person1#: I'm afraid you're going to be a jerk.,Then the person will go.,#Person1# tells #Person2# #Person1# must go to #Person2#'s side. #Person1# asks #Person2# to pass through life at #Person1#'s side to be #Person1#'s second self and best earthly companion.,#Person1# tells #Person2# #Person1# must go. #Person2# asks #Person1# to pass through life at #Person1#'s side.
649,#Person1# refuses #Person2#'s plea for staying and will never come back.,#Person1#: I must go. #Person2#: I tell you I can go anywhere. #Person1#: I'll never again come to your side. #Person2#: I'm turn away and can't return.,Then the person will go.,#Person1# tells #Person2# #Person1# must go to #Person2#'s side. #Person1# asks #Person2# to pass through life at #Person1#'s side to be #Person1#'s second self and best earthly companion.,#Person1# tells #Person2# #Person1# must go. #Person2# asks #Person1# to pass through life at #Person1#'s side.
650,#Person2# asks #Person1# to stay but #Person1# insists on leaving.,The two talk about the situation.,Then the person will go.,#Person1# tells #Person2# #Person1# must go to #Person2#'s side. #Person1# asks #Person2# to pass through life at #Person1#'s side to be #Person1#'s second self and best earthly companion.,#Person1# tells #Person2# #Person1# must go. #Person2# asks #Person1# to pass through life at #Person1#'s side.
651,#Person1# asks #Person2# how to use the library. #Person2# offers specific directions.,You can use the library to check out books and magazines.,Go to the library.,#Person1# tells #Person2# how to use the library and how to check out books and read journals in the library. #Person2# tells #Person1# how to keep the books for one month. #Person1# will be fined if #Person2# can't return the books in time. #Person2# shows #Person1# where to find them.,#Person2# tells #Person1# how to use the library and tells #Person1# how to keep the books. #Person1# wants to check out two books on spoken English.
652,#Person1# is asking #Person2# how to use the library and will check out two books.,You're in the library.,Go to the library.,#Person1# tells #Person2# how to use the library and how to check out books and read journals in the library. #Person2# tells #Person1# how to keep the books for one month. #Person1# will be fined if #Person2# can't return the books in time. #Person2# shows #Person1# where to find them.,#Person2# tells #Person1# how to use the library and tells #Person1# how to keep the books. #Person1# wants to check out two books on spoken English.
653,#Person1# wants to use the library. #Person2# teaches #Person1# to use the library and helps to check out two books.,You'll need to enter your student ID card or a student ID card to access the library.,Go to the library.,#Person1# tells #Person2# how to use the library and how to check out books and read journals in the library. #Person2# tells #Person1# how to keep the books for one month. #Person1# will be fined if #Person2# can't return the books in time. #Person2# shows #Person1# where to find them.,#Person2# tells #Person1# how to use the library and tells #Person1# how to keep the books. #Person1# wants to check out two books on spoken English.
654,"It's a lovely day, so #Person1# and #Person2# have their lunch outside and plan to go to the beach this weekend.","The weather is clear, and the sun is shining.",The weather is nice today.,#Person1# and #Person2# are having lunch outside and having lunch. #Person1# thinks the weather is nice and the weather will be fine all day. #Person2# thinks it will rain after all.,#Person1# and #Person2# are enjoying the weather today. They decide to sit down outside and have lunch. They will go to the beach this weekend.
655,#Person1# and #Person2# are enjoying the weather and may go to the beach this weekend.,The weather is nice today.,The weather is nice today.,#Person1# and #Person2# are having lunch outside and having lunch. #Person1# thinks the weather is nice and the weather will be fine all day. #Person2# thinks it will rain after all.,#Person1# and #Person2# are enjoying the weather today. They decide to sit down outside and have lunch. They will go to the beach this weekend.
656,Weather's nice. #Person1# suggests having lunch outside and hopes to go to the beach to get some sun.,It's a lovely day.,The weather is nice today.,#Person1# and #Person2# are having lunch outside and having lunch. #Person1# thinks the weather is nice and the weather will be fine all day. #Person2# thinks it will rain after all.,#Person1# and #Person2# are enjoying the weather today. They decide to sit down outside and have lunch. They will go to the beach this weekend.
657,#Person1# stops #Person2# from taking photos in the museum.,"Then, you are supposed to take pictures in the museum.",You are not allowed to take pictures in this museum.,#Person1# asks #Person2# to return #Person2#'s camera. #Person2# will return it later and buy slides and picture postcards.,#Person1# asks #Person2# to return #Person2#'s camera and buy slides and picture postcards at the souvenir shop.
658,#Person2# breaks the museum's rule of non-taking pictures.,You are allowed to take pictures in the museum.,You are not allowed to take pictures in this museum.,#Person1# asks #Person2# to return #Person2#'s camera. #Person2# will return it later and buy slides and picture postcards.,#Person1# asks #Person2# to return #Person2#'s camera and buy slides and picture postcards at the souvenir shop.
659,#Person1# asks #Person2# not to take pictures and takes his phone temporarily,A person is going to the museum.,You are not allowed to take pictures in this museum.,#Person1# asks #Person2# to return #Person2#'s camera. #Person2# will return it later and buy slides and picture postcards.,#Person1# asks #Person2# to return #Person2#'s camera and buy slides and picture postcards at the souvenir shop.
660,#Person2# asks #Person1# for information for requesting a loan. #Person1# says the bank will assess people's credit scores then #Person2# just leaves.,The loan terms are as follows: #Person1#: I am looking for a personal loan. #Person2#: I am looking for a personal loan.,"#Person1#: Hello, Sir. I would like to request a personal loan.",#Person2# wants to borrow ten thousand dollars for a loan. #Person2# tells #Person1# the general terms of the loan policies and the problem is that #Person2# has a terrible credit score. #Person2# has a terrible credit score. #Person2# doesn't really need the money.,"#Person2# wants to borrow ten thousand dollars at an annual interest rate of ten percent for forty eight months. #Person1# tells #Person2# the principal and another small portion of the annual interest rate is the principal and another small portion of the annual interest rate. #Person2# has a terrible credit score. #Person1# advises #Person2# to assess #Person2#'s personal information, past loans, assets and other relevant information."
661,"#Person2#'d like some information for requesting a loan. However, it's likely that his order cannot be approved because of his terrible credit score.",You can borrow up to ten thousand dollars from a bank.,"#Person1#: Hello, Sir. I would like to request a personal loan.",#Person2# wants to borrow ten thousand dollars for a loan. #Person2# tells #Person1# the general terms of the loan policies and the problem is that #Person2# has a terrible credit score. #Person2# has a terrible credit score. #Person2# doesn't really need the money.,"#Person2# wants to borrow ten thousand dollars at an annual interest rate of ten percent for forty eight months. #Person1# tells #Person2# the principal and another small portion of the annual interest rate is the principal and another small portion of the annual interest rate. #Person2# has a terrible credit score. #Person1# advises #Person2# to assess #Person2#'s personal information, past loans, assets and other relevant information."
662,#Person2# wants to know about requesting a loan. #Person1# introduces the policy of loan interest and credit assessment. #Person2# then leaves as he has a terrible credit score.,#Person1#: I would like to borrow ten thousand dollars at an annual interest rate of ten percent. #Person2#: I would like to borrow ten thousand dollars at an annual interest rate of ten percent for forty eight months. #Person1#: I would like to borrow ten thousand dollars at an annual interest rate of ten percent for forty eight months. #Person2#: I would like to borrow ten thousand dollars at an annual interest rate of ten percent for forty eight months.,"#Person1#: Hello, Sir. I would like to request a personal loan.",#Person2# wants to borrow ten thousand dollars for a loan. #Person2# tells #Person1# the general terms of the loan policies and the problem is that #Person2# has a terrible credit score. #Person2# has a terrible credit score. #Person2# doesn't really need the money.,"#Person2# wants to borrow ten thousand dollars at an annual interest rate of ten percent for forty eight months. #Person1# tells #Person2# the principal and another small portion of the annual interest rate is the principal and another small portion of the annual interest rate. #Person2# has a terrible credit score. #Person1# advises #Person2# to assess #Person2#'s personal information, past loans, assets and other relevant information."
663,#Person1# thanks Monica for giving a successful project presentation at the meeting. Monica attributes the success to collaboration.,The presentation was very successful and everyone was impressed by your speech.,Thank you for your presentation.,Monica tells #Person1# Monica's presentation was very successful and everyone was impressed by her speech. Monica consulted an economic expert last week and she consulted an economic expert. Monica loves being challenged.,Monica's presentation at the meeting was successful and everyone was impressed by her speech. Monica's colleagues helped her with some statistics and she's satisfied with it.
664,Monica tells #Person1# her presentation was very successful because she got help from several colleagues and an economic expert.,The presentation was very successful. Everyone was impressed with the presentation.,Thank you for your presentation.,Monica tells #Person1# Monica's presentation was very successful and everyone was impressed by her speech. Monica consulted an economic expert last week and she consulted an economic expert. Monica loves being challenged.,Monica's presentation at the meeting was successful and everyone was impressed by her speech. Monica's colleagues helped her with some statistics and she's satisfied with it.
665,#Person1# praises Monica for her presentation. Monica admits her efforts and also gives the credit to her colleagues.,Congratulations!,Thank you for your presentation.,Monica tells #Person1# Monica's presentation was very successful and everyone was impressed by her speech. Monica consulted an economic expert last week and she consulted an economic expert. Monica loves being challenged.,Monica's presentation at the meeting was successful and everyone was impressed by her speech. Monica's colleagues helped her with some statistics and she's satisfied with it.
666,Tom invites #Person1# to run in the morning. #Person1# would try to get up and join him.,Tom will meet you at your house at 6 o'clock.,Tom wants to go for a run.,Tom wants to run in the morning but he can't get up early enough. Tom suggests Tom come tomorrow. Tom will give Tom a call around 6 o'clock and stop by his house.,Tom wants to go for a run in the morning but #Person1# can't get up early enough. Tom will give #Person1# a call around 6 o'clock and stop by around 6 thirty.
667,"Tom will stop by #Person1#'s house tomorrow, and #Person1# will try to get up to join his running.","Tom, if you want to run in the morning, you can't get up early.",Tom wants to go for a run.,Tom wants to run in the morning but he can't get up early enough. Tom suggests Tom come tomorrow. Tom will give Tom a call around 6 o'clock and stop by his house.,Tom wants to go for a run in the morning but #Person1# can't get up early enough. Tom will give #Person1# a call around 6 o'clock and stop by around 6 thirty.
668,Tom likes to run in the morning. #Person1# tries but fails. Tom invites #Person1# to run together tomorrow. #Person1# accepts.,"#Pr1#: Hey, Tom. I'm going to run in the morning. #Pr2#: I'd like to do that, too.",Tom wants to go for a run.,Tom wants to run in the morning but he can't get up early enough. Tom suggests Tom come tomorrow. Tom will give Tom a call around 6 o'clock and stop by his house.,Tom wants to go for a run in the morning but #Person1# can't get up early enough. Tom will give #Person1# a call around 6 o'clock and stop by around 6 thirty.
669,#Person1# calls a Japanese restaurant to ask about food and opening time and will go there.,The last order for dinner is at 9:30 pm.,The Japanese Restaurant is open until 10 pm.,#Person2# tells #Person1# the Japanese Restaurant is open until 10 pm and the last order for dinner is at 9:30 pm.,#Person2# tells #Person1# the Japanese Restaurant serves a great variety of popular Japanese dishes in set courses and also many meat dishes.
670,#Person1# calls #Person2# to ask about their food and opening time.,The Japanese Restaurant at the Japanese Restaurant in the city is open until 10 a.m.,The Japanese Restaurant is open until 10 pm.,#Person2# tells #Person1# the Japanese Restaurant is open until 10 pm and the last order for dinner is at 9:30 pm.,#Person2# tells #Person1# the Japanese Restaurant serves a great variety of popular Japanese dishes in set courses and also many meat dishes.
671,#Person1# calls #Person2#'s restaurant to ask about the food and opening hours.,The restaurant is open until 10 and has a variety of popular dishes.,The Japanese Restaurant is open until 10 pm.,#Person2# tells #Person1# the Japanese Restaurant is open until 10 pm and the last order for dinner is at 9:30 pm.,#Person2# tells #Person1# the Japanese Restaurant serves a great variety of popular Japanese dishes in set courses and also many meat dishes.
672,Mr. Simpson agrees to have lunch with #Person1# on Thursday.,Lunch is on Thursday at the Park.,Lunch is on Thursday at 12:30.,Mr. Simpson will be there at 12:30 on Thursday. Mr. Simpson will be there at 12:30.,Mr. Simpson invites #Person1# to a lunch on Thursday. #Person1# tells him the place and #Person1# will meet him there.
673,#Person1# and Mr. Simpson will have lunch together.,Mr. Simpson will be out for lunch on Thursday.,Lunch is on Thursday at 12:30.,Mr. Simpson will be there at 12:30 on Thursday. Mr. Simpson will be there at 12:30.,Mr. Simpson invites #Person1# to a lunch on Thursday. #Person1# tells him the place and #Person1# will meet him there.
674,Mr. Simpson accepts #Person1#'s invitation to lunch on Thursday.,                                                                                                   ,Lunch is on Thursday at 12:30.,Mr. Simpson will be there at 12:30 on Thursday. Mr. Simpson will be there at 12:30.,Mr. Simpson invites #Person1# to a lunch on Thursday. #Person1# tells him the place and #Person1# will meet him there.
675,#Person1# is taking a date to a restaurant. #Person2# suggests an expensive one and #Person1# asks #Person2# to reserve a table.,The restaurant you are talking about is The Gramercy Tavern.,I'm taking a date to a restaurant.,#Person1# is taking a date to a restaurant. #Person2# wants to help #Person1# find a budget for the dinner. #Person1# wants to go to a restaurant with a three-star rating. #Person2# suggests the Gramercy Tavern restaurant. #Person1# suggests the Gramercy Tavern restaurant. #Person2# calls the Gramercy Tavern to reserve a table.,#Person1# is taking a date to a restaurant. #Person2# recommends the Gramercy Tavern and #Person1# agrees.
676,"#Person1# wants to take a date to the best restaurant, #Person2# suggests the Gramercy Tavern and is calling to reserve a table for him.",I'm taking a date to a restaurant.,I'm taking a date to a restaurant.,#Person1# is taking a date to a restaurant. #Person2# wants to help #Person1# find a budget for the dinner. #Person1# wants to go to a restaurant with a three-star rating. #Person2# suggests the Gramercy Tavern restaurant. #Person1# suggests the Gramercy Tavern restaurant. #Person2# calls the Gramercy Tavern to reserve a table.,#Person1# is taking a date to a restaurant. #Person2# recommends the Gramercy Tavern and #Person1# agrees.
677,#Person1# wants to take a date to a restaurant. #Person2# recommends the Gramercy Tavern.,The Gramercy Tavern is a great choice for a date.,I'm taking a date to a restaurant.,#Person1# is taking a date to a restaurant. #Person2# wants to help #Person1# find a budget for the dinner. #Person1# wants to go to a restaurant with a three-star rating. #Person2# suggests the Gramercy Tavern restaurant. #Person1# suggests the Gramercy Tavern restaurant. #Person2# calls the Gramercy Tavern to reserve a table.,#Person1# is taking a date to a restaurant. #Person2# recommends the Gramercy Tavern and #Person1# agrees.
678,#Person1# pays the meal and tips #Person2# but #Person2# doesn't take it.,The total cost of the meal is $ 25.,Let's see how much you can pay.,"#Person1# asks #Person2# how much to pay for roasted duck, pork, and beer. #Person2# pays $ 50. #Person1# asks #Person2# to keep the change.","#Person2# tells #Person1# the price of a roasted duck, pork, beef, and beer. #Person1# pays for the food with no tips."
679,#Person2# takes no tips despite #Person1#'s kindness.,"If you want to buy a roasted duck, you'll need to pay $ 25. If you want to buy a plate of pork, you'll need $ 6 50. If you want to buy a bowl of beer, you'll need $ 7.",Let's see how much you can pay.,"#Person1# asks #Person2# how much to pay for roasted duck, pork, and beer. #Person2# pays $ 50. #Person1# asks #Person2# to keep the change.","#Person2# tells #Person1# the price of a roasted duck, pork, beef, and beer. #Person1# pays for the food with no tips."
